time,lwe_thickness,hotspot,tp,t2m,Cropland area,Population,EVI,discharge
December 2014,999.0,Thailand,0.6354679802955665,0.8423645320197044,0.3497536945812808,0.4876847290640394,0.4088669950738916,0.2315270935960591
January 2015,0.4419393041892801,Thailand,0.7093596059113301,0.04926108374384237,0.3842364532019705,0.5073891625615763,0.2561576354679803,0.20689655172413793
February 2015,0.6955764319287091,Thailand,0.29064039408866993,0.1625615763546798,0.39408866995073893,0.5221674876847291,0.21182266009852216,0.21182266009852216
March 2015,0.6662614395650698,Thailand,0.45320197044334976,0.625615763546798,0.4088669950738916,0.5369458128078818,0.22660098522167488,0.19704433497536947
April 2015,0.49353635730216594,Thailand,0.5566502463054187,0.1330049261083744,0.43349753694581283,0.5566502463054187,0.4729064039408867,0.22167487684729065
April 2015,0.4699768731939432,Thailand,0.5517241379310345,0.12807881773399016,0.4285714285714286,0.47783251231527096,0.46798029556650245,0.21674876847290642
May 2015,999.0,Thailand,0.034482758620689655,0.8768472906403941,0.4482758620689655,0.49261083743842365,0.12315270935960591,0.1330049261083744
June 2015,999.0,Thailand,0.29556650246305416,0.8719211822660097,0.4729064039408867,0.5123152709359605,0.35960591133004927,0.059113300492610835
July 2015,0.5016355384874785,Thailand,0.8522167487684729,0.4975369458128079,0.49261083743842365,0.5270935960591133,0.034482758620689655,0.029556650246305417
August 2015,0.4154770455060542,Thailand,0.33990147783251234,0.4876847290640394,0.5221674876847291,0.5467980295566502,0.47783251231527096,0.014778325123152709
September 2015,0.19701320108196102,Thailand,0.029556650246305417,0.6896551724137931,0.5517241379310345,0.5615763546798029,0.6798029556650247,0.0049261083743842365
October 2015,999.0,Thailand,0.04433497536945813,0.6157635467980296,0.5763546798029611,0.5763546798029556,0.896551724137931,0.0
November 2015,999.0,Thailand,0.6009852216748768,0.9507389162561577,0.6009852216748768,0.5862068965517236,0.9211822660098522,0.03940886699507389
December 2015,0.2620514736517616,Thailand,0.6157635467980296,0.9359605911330049,0.6305418719211823,0.5960591133004925,0.6995073891625616,0.08374384236453201
January 2016,0.5845581964195736,Thailand,0.605911330049261,0.28078817733990147,0.6699507389162561,0.6108374384236454,0.3694581280788177,0.11822660098522167
February 2016,0.689703108026851,Thailand,0.4187192118226601,0.09359605911330046,0.7093596059113301,0.625615763546798,0.19211822660098524,0.17733990147783252
March 2016,0.3452387640123476,Thailand,0.17733990147783252,0.9014778325123153,0.7536945812807881,0.6403940886699507,0.10344827586206896,0.1477832512315271
April 2016,999.0,Thailand,0.024630541871921183,1.0,0.7881773399014779,0.6551724137931032,0.014778325123152709,0.1625615763546798
May 2016,0.25594542408910803,Thailand,0.18226600985221675,0.9901477832512154,0.8275862068965517,0.6699507389162561,0.0049261083743842365,0.12807881773399016
June 2016,0.7949112530117952,Thailand,0.6403940886699507,0.4285714285714286,0.8719211822660092,0.6847290640394089,0.059113300492610835,0.16748768472906403
July 2016,0.6544358110855385,Thailand,0.7339901477832512,0.4039408866995074,0.8916256157635469,0.6945812807881774,0.8916256157635469,0.5665024630541872
August 2016,0.5470149396946975,Thailand,0.24630541871921183,0.6305418719211823,0.916256157635468,0.7093596059113301,0.6059113300492611,0.3645320197044335
September 2016,999.0,Thailand,0.10837438423645321,0.5467980295566502,0.9408866995073891,0.7192118226600985,0.9162561576354685,0.5911330049261083
October 2016,999.0,Thailand,0.3694581280788177,0.7192118226600985,0.9605911330049262,0.729064039408867,0.8325123152709359,0.8472906403940886
November 2016,0.9358565767339504,Thailand,0.6847290640394089,0.8374384236453202,0.9802955665024631,0.7438423645320197,0.6354679802955665,0.5714285714285714
December 2016,0.8182381639226004,Thailand,0.9014778325123153,0.8817733990147784,0.9950738916256158,0.7536945812807881,0.6945812807881774,0.8423645320197047
January 2017,0.9174046653515914,Thailand,0.9901477832512303,0.5172413793103449,0.9753694581280788,0.768472906403941,0.8768472906403941,0.9556650246305419
February 2017,999.0,Thailand,0.3842364532019705,0.22167487684729065,0.9359605911330049,0.7783251231527094,0.7142857142857143,0.6650246305418719
March 2017,0.834204040677554,Thailand,0.43842364532019706,0.5320197044334976,0.9064039408866995,0.7881773399014779,0.6108374384236454,0.5467980295566502
April 2017,0.7142857142857143,Thailand,0.91625615763547,0.054187192118226604,0.8669950738916257,0.7980295566502497,0.6157635467980296,0.5960591133004927
May 2017,0.7064650796848796,Thailand,0.9704433497536946,0.20689655172413793,0.8078817733990148,0.812807881773399,0.4236453201970443,0.7044334975369456
June 2017,0.8448880235152685,Thailand,0.1330049261083744,0.41379310344827586,0.7438423645320197,0.8226600985221674,0.8522167487684729,0.625615763546798
July 2017,999.0,Thailand,0.9605911330049262,0.22660098522167488,0.6847290640394089,0.8325123152709359,0.7044334975369457,0.8571428571428572
August 2017,999.0,Thailand,0.33497536945812806,0.541871921182266,0.6206896551724138,0.8423645320200283,0.9261083743842364,0.7487684729064008
September 2017,999.0,Thailand,0.03940886699507389,0.8325123152709359,0.541871921182266,0.8571428571428572,0.43842364532019706,0.645320197044335
October 2017,999.0,Thailand,0.4729064039408867,0.5763546798029556,0.46798029556650245,0.8669950738916257,0.35467980295566504,0.9458128078817734
November 2017,999.0,Thailand,0.8768472906403941,0.6798029556650247,0.4039408866995074,0.8768472906403941,0.7832512315270936,0.8817733990147784
December 2017,999.0,Thailand,0.6945812807881774,0.45320197044334976,0.35960591133004927,0.8866995073891626,0.24630541871921183,0.8226600985221671
January 2018,999.0,Thailand,0.7783251231527093,0.5270935960591133,0.2660098522167488,0.9014778325123153,0.7586206896551724,0.7783251231527093
February 2018,999.0,Thailand,0.4827586206896552,0.10837438423645321,0.1477832512315271,0.9113300492610837,0.7536945812807881,0.6699507389162561
March 2018,999.0,Thailand,0.4236453201970443,0.15270935960591134,0.08866995073891626,0.9211822660098522,0.8423645320197045,0.5369458128078818
April 2018,999.0,Thailand,0.8472906403940886,0.029556650246305417,0.07881773399014778,0.9310344827586207,0.6896551724137931,0.4827586206896552
May 2018,999.0,Thailand,0.6108374384236454,0.11330049261083744,0.06896551724137931,0.9458128078817734,0.8620689655172414,0.4876847290640394
June 2018,0.9704272078754453,Thailand,0.8916256157635468,0.19704433497536947,0.06403940886699498,0.9556650246305419,0.5270935960591133,0.5320197044334976
July 2018,0.9407263352855484,Thailand,0.8719211822660097,0.3054187192118227,0.054187192118226604,0.9655172413793104,0.0,0.9605911330049262
August 2018,999.0,Thailand,0.9064039408866995,0.25123152709359603,0.04433497536945813,0.9753694581280788,0.009852216748768473,0.9359605911330049
