hotspot,time,t2m,tp,EVI,lwe_thickness,Population
Thailand,June 2005,0.45320197044334976,0.6798029556650247,0.054187192118226604,0.6403940886699507,0.18719211822660098
Thailand,July 2005,0.6354679802955665,0.6600985221674877,0.46798029556650245,0.6945812807881774,0.19211822660098524
Thailand,August 2005,0.47783251231527096,0.6650246305418719,0.014778325123152709,0.6699507389162561,0.19704433497536947
Thailand,September 2005,0.5221674876847291,0.8719211822660098,0.4187192118226601,0.768472906403941,0.2019704433497537
Thailand,October 2005,0.5320197044334976,0.33004926108374383,0.2413793103448276,0.7487684729064038,0.20689655172413793
Thailand,November 2005,0.32019704433497537,0.8029556650246306,0.4975369458128079,0.8325123152709359,0.21182266009852216
Thailand,December 2005,0.09359605911330049,0.9802955665024631,0.5862068965517242,0.7586206896551724,0.21674876847290642
Thailand,January 2006,0.5862068965517242,0.22660098522167488,0.3645320197044335,0.8029556650246306,0.22167487684729065
Thailand,February 2006,0.605911330049261,0.7093596059113301,0.35467980295566504,0.7783251231527075,0.22660098522167488
Thailand,March 2006,0.8226600985221674,0.541871921182266,0.33990147783251234,0.7339901477832512,0.2315270935960591
Thailand,April 2006,0.07881773399014778,0.8866995073891626,0.5123152709359606,0.7093596059113301,0.23645320197044334
Thailand,May 2006,0.04926108374384237,0.9261083743842364,0.7931034482758621,0.8177339901477833,0.2413793103448276
Thailand,June 2006,0.31527093596059114,0.6009852216748769,0.5812807881773399,0.7931034482758621,0.24630541871921183
Thailand,July 2006,0.30049261083743845,0.6896551724137931,0.7783251231527086,0.8226600985221675,0.2512315270935961
Thailand,August 2006,0.28078817733990147,0.8275862068965517,0.9507389162561577,0.7832512315270936,0.2561576354679803
Thailand,September 2006,0.27586206896551724,0.6403940886699507,0.270935960591133,0.812807881773399,0.26108374384236455
Thailand,October 2006,0.4975369458128079,0.5665024630541872,0.21182266009852216,0.8423645320197046,0.2660098522167488
Thailand,November 2006,0.896551724137931,0.024630541871921183,0.22167487684729065,0.7438423645320197,0.270935960591133
Thailand,December 2006,0.5615763546798029,0.12807881773399016,0.2019704433497537,0.7142857142857143,0.27586206896551724
Thailand,January 2007,0.5960591133004925,0.32019704433497537,0.20689655172413793,0.6108374384236454,0.28078817733990147
Thailand,February 2007,0.4088669950738916,0.3645320197044335,0.1724137931034483,0.6354679802955665,0.2857142857142857
Thailand,March 2007,0.8423645320197045,0.25123152709359375,0.13793103448275862,0.5714285714285714,0.29064039408866993
Thailand,April 2007,0.5024630541871916,0.6748768472906403,0.2660098522167488,0.5369458128078818,0.2955665024630542
Thailand,May 2007,0.019704433497536946,0.9950738916256158,0.4088669950738916,0.7980295566502463,0.30049261083743845
Thailand,June 2007,0.7142857142857143,0.5960591133004917,0.9802955665024631,0.6305418719211823,0.3054187192118227
Thailand,July 2007,0.541871921182266,0.45320197044334976,0.9852216748768473,0.6059113300492607,0.3103448275862069
Thailand,August 2007,0.5369458128078818,0.6206896551724138,0.8916256157635488,0.5911330049261084,0.31527093596059114
Thailand,September 2007,0.4729064039408867,0.39408866995073893,0.4285714285714286,0.3842364532019705,0.32019704433497537
Thailand,October 2007,0.18719211822660098,0.9852216748768473,0.17733990147783252,0.6157635467980296,0.3251231527093596
