,+10% population,+1K temperature,+10% precipitation,+10% EVI,+10% LWE thickness,+10% discharge,Model,Hotspot
116,0.08937800311782573,0.3733377258903209,0.4428044909865335,0.49518977667912445,0.4081065482956644,0.40738091639058416,0.40810654829566795,Ganges
117,0.12932243089518738,0.41007586465034673,0.47894431665743153,0.5305162179254223,0.4475989114737864,0.446480312932897,0.44759891147378916,Ganges
118,0.10682517772874989,0.38454779843811154,0.45293622097690045,0.5038887223191284,0.42421583400995017,0.4227911932283601,0.4242158340099524,Ganges
119,0.054238805261185255,0.32859350385891045,0.3949537756533087,0.45542945849498023,0.3708784773642404,0.370053379128217,0.3708784773642421,Ganges
120,0.08243082118771983,0.35442804200252276,0.4273377055276551,0.48430173063192705,0.39849195220242317,0.3984702174203765,0.3984919522024245,Ganges
121,0.053969321533184275,0.3249842113478952,0.400245465161973,0.4525367729306524,0.36953513214266587,0.3709025364055757,0.36953513214266687,Ganges
122,-0.028607060887076825,0.24939698546304018,0.3208100807972632,0.37553597011317846,0.28657964874746783,0.28953074815174773,0.2865796487474686,Ganges
123,-0.059169073589765864,0.22640086094160317,0.31496598489372907,0.3439206833673735,0.25569535043152264,0.25789635177454595,0.25569535043152325,Ganges
124,0.021942320975098906,0.30785325398359337,0.40528024426481946,0.429744561340258,0.33656172385334715,0.3395095294444386,0.33656172385334765,Ganges
125,0.1311059600084733,0.4129716635170772,0.5196506686616515,0.5225225157664657,0.44554257012210624,0.448482929464472,0.4455425701221066,Ganges
126,0.08751133062086267,0.36609545574636326,0.4724694506364525,0.4637921818453218,0.40175166923081285,0.402924806022797,0.4017516692308132,Ganges
127,0.060404330123581346,0.33527910308548575,0.4380559007072592,0.44354095205652116,0.3745066635514945,0.37472568028295994,0.3745066635514948,Ganges
128,0.05867205931646108,0.33190707976753586,0.42690302140227515,0.44798299251108153,0.37266021483492107,0.3728961688342881,0.3726602148349213,Ganges
129,0.03569899818262717,0.30662866421268464,0.3953746225045423,0.42863823377636195,0.3495816631167456,0.3498641193194202,0.34958166311674577,Ganges
130,0.06471272100180098,0.33470573881456583,0.4204631611753347,0.4618469184869545,0.3785226336851289,0.3793825121018165,0.3785226336851291,Ganges
131,0.051132532178952306,0.31952199300420414,0.4014325387988697,0.4347817931042828,0.36478349546718225,0.3651720399094427,0.3647834954671825,Ganges
132,0.0024717825224352258,0.271971445772404,0.35501604270170817,0.37804111527966155,0.316011356191108,0.316058933095005,0.31601135619110815,Ganges
133,0.06666719775669783,0.3344151923180868,0.41743407114147146,0.44357676970215176,0.38007490310181713,0.38191941745529134,0.38007490310181713,Ganges
134,0.11678451203953175,0.3852865554960163,0.4740607455392924,0.4973616632321831,0.4300893054465582,0.43185584742516697,0.4300893054465582,Ganges
135,0.11728631030051681,0.39031132710831384,0.5291997330170954,0.48543441168943624,0.43049003855171075,0.4339786068772259,0.43049003855171075,Ganges
136,0.11157327751677334,0.38201325551930954,0.5467496809018396,0.46748803227265945,0.424697378978795,0.4269694756732916,0.424697378978795,Ganges
137,0.03514278484256031,0.3037480020647406,0.4585554133104313,0.40092627040030515,0.3482190397293603,0.3497031884932299,0.3482190397293603,Ganges
138,0.035236339437153735,0.3071913738822655,0.43920262389232556,0.40886496185262755,0.3479567114063964,0.34871208370364654,0.3479567114063964,Ganges
139,0.03965746399291237,0.30807643861700673,0.42478043423675593,0.3993877327051085,0.35102416318751883,0.35083739421259136,0.35102416318751883,Ganges
140,0.023830207634346345,0.2942379646165764,0.3947014546180152,0.38022762107217273,0.33306615575864973,0.3322801908080376,0.33306615575864973,Ganges
141,0.050182015720600215,0.31579377992985486,0.40950954008768814,0.40153847983193836,0.35668202454452014,0.3546364028964468,0.35668202454452014,Ganges
142,0.10801027393019982,0.3681165172447002,0.4574658838533988,0.4473975245462086,0.41130302313007083,0.40915297172351217,0.41130302313007083,Ganges
143,0.08588018079019816,0.3508656704470862,0.42565487029622473,0.41417311353041336,0.3855986063081626,0.38325659464491924,0.3855986063081626,Ganges
144,0.011985131967818877,0.27778497211462,0.3421006488597471,0.3317216176221543,0.30784336447933264,0.30577906225431073,0.30784336447933264,Ganges
145,-0.018996156380344728,0.2429379108020968,0.3215822215542691,0.3002363921215194,0.2727792482222646,0.2715110039456524,0.2727792482222646,Ganges
146,-0.06155285340394774,0.19302850209926053,0.2828144164267165,0.25762436702431357,0.22596633532702332,0.22744105848172397,0.22596633532702332,Ganges
147,-0.1115035908811659,0.14493672968239255,0.23280532757138947,0.21410544405423446,0.17162434751012273,0.17416043590336572,0.17162434751012273,Ganges
148,-0.11419768626218915,0.14107053365702266,0.26570066549337523,0.2268268624021419,0.16443383700593084,0.16711637993979755,0.16443383700593084,Ganges
149,-0.09584975761407391,0.1545478415449865,0.3205946013264377,0.2457249596735344,0.17820344824440296,0.18098822243441068,0.17820344824440296,Ganges
150,-0.07881372164345768,0.16196540782888869,0.32327250896655646,0.24666404646117873,0.19059738134119947,0.19430435091921056,0.19059738134119947,Ganges
151,-0.05976663499848344,0.1749333142668345,0.3122639060420402,0.25785793790354516,0.2049526890213027,0.20858543955650583,0.2049526890213027,Ganges
152,-0.024620533525120544,0.206350186933818,0.327005029591872,0.2963585017549627,0.23536832381223924,0.23990172998659445,0.23536832381223924,Ganges
153,0.03508726114317806,0.2575419827159563,0.368650185655978,0.34904530627223107,0.2903155218209348,0.29516328415444837,0.2903155218209348,Ganges
154,0.06107916635279648,0.2760291805041812,0.3768454206150669,0.36027891161110387,0.31152336515816353,0.3161561679363966,0.31152336515816353,Ganges
155,0.10503366388113675,0.3167393325364183,0.4073635024172053,0.3900387008026239,0.35067552611686104,0.35465930970351744,0.35067552611686104,Ganges
156,0.1611934693119413,0.3690232735513356,0.45173952551647023,0.43780263417327847,0.4014805069933681,0.4041708547576268,0.4014805069933681,Ganges
157,0.21852209377285192,0.42754586512105597,0.4995953063404086,0.4899748787607545,0.45463879647970273,0.45634458680887513,0.45463879647970273,Ganges
158,0.17375916030963307,0.38209802573390106,0.4504428570322965,0.43958139197615254,0.40501324102254477,0.4059522584603953,0.40501324102254477,Ganges
