,+5% population,+0.5K temperature,+5% precipitation,+5% EVI,+5% LWE thickness,+5% discharge,Model,Hotspot
119,0.36574267606849054,0.4477722817557934,0.45845867848574035,0.48553045599390776,0.46285969053366693,0.46866397603931903,0.4628596905336956,Nile
120,0.3286339490368893,0.41322400681743293,0.42186136945033786,0.443654980957952,0.42548134341565486,0.42990206358600314,0.4254813434156777,Nile
121,0.36016500971717713,0.4453359349182814,0.4544072069933397,0.47224611768071356,0.4573331581209017,0.4618212402000773,0.4573331581209199,Nile
122,0.3590903641968328,0.44395544164074174,0.4537424537348606,0.47174521268785874,0.45651358224197414,0.4689788953427813,0.4565135822419887,Nile
123,0.3368053766716796,0.42046278799844833,0.4318709980001251,0.4504908364816282,0.4344301717187162,0.4518600076059971,0.43443017171872783,Nile
124,0.3381042554079852,0.42323344926416534,0.43365553715852295,0.455032310380533,0.435889107592257,0.452212734810882,0.43588910759226634,Nile
125,0.35629938805266675,0.4417528641352137,0.4510285648440849,0.4716522016765408,0.45421055710041974,0.4678321847265361,0.45421055710042707,Nile
126,0.3864766123723835,0.470100584624227,0.48187184063370586,0.5000551607783366,0.48448647216430085,0.4964116946738549,0.48448647216430674,Nile
127,0.3796788409455684,0.46452561755461225,0.47333001129500907,0.4935744762857401,0.47776679268544947,0.4920651383125676,0.47776679268545413,Nile
128,0.33093000542002576,0.4175671467262176,0.42393354737868666,0.444637473680306,0.4290780711343702,0.4438379985661717,0.42907807113437396,Nile
129,0.32976810921927313,0.4149731849406453,0.42365963335638535,0.4459967651576011,0.4279635745962248,0.4402078227522657,0.4279635745962278,Nile
