,r²,MAE,MSE,Mean residuals,Stdev residuals,Lag correlation residuals,Shapiro stat,Shapiro pvalue,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,alpha_9,alpha_10,alpha_11,alpha_12,alpha_13,alpha_14,alpha_15,alpha_16,alpha_17,alpha_18,alpha_19,alpha_20
Iran,0.9351,0.0444,0.004,-0.0024,0.0677,0.6877,0.987,0.0605,-0.007769022067936949,-3.452393523466899,1.4446932477184649,0.4136999550840495,0.23776512955010892,0.5217966054974955,0.9136687943412142,-0.4607116007093031,0.42411823812134514,0.06111973219007424,1.554234519078032,2.4896803126998255,2.7398958578623547,-0.43564228747806844,0.7254700187137739,1.9080248495088465,1.612386803782014,1.466560478811672,0.56501904498213,0.02145961335808181,1.1306053037070916
Vietnam,0.3767,0.1872,0.0481,0.005,0.2391,0.7247,0.9927,0.4105,0.7630456562245256,1.6484324366136849,-0.8348478908374517,-0.05244383168585275,0.17998919697429389,-0.043318925029309126,-0.02431371639485245,0.03140887495643114,-0.10573211633724035,2.5899232869116813,0.9899603418903892,0.9939657993292006,-0.3692350187152443,1.6992096502349687,0.7556775950504896,3.4545727632678727,1.9604255096592265,1.8925770450380675,0.6456651779299932,0.008063669493927752,2.667749978653464
Thailand,0.5191,0.1553,0.0336,-0.0201,0.1676,0.8067,0.9743,0.0009,0.5799769227879937,0.5638838716204487,0.366038359098002,-0.22189628582470508,-0.41923247096620087,0.27937299659656245,-0.005225933330512058,0.5909725695023931,0.0007917633709414239,0.0559948254791693,0.38823131922642673,-0.2600833559790609,0.8138107002863442,0.13033703597527446,0.8289494349358463,0.40463049170867055,0.8318582350333724,0.9475539619398313,0.40804600850751377,0.012506456122172794,-0.42487385182861553
Australia,0.4505,0.183,0.0513,0.0057,0.2011,0.9238,0.9511,0.0,-0.056950376514647114,0.542957253515363,-0.2986759100258716,0.1862464648261257,0.25059347447977,-0.04649928522246619,0.043367478312783585,-0.11975186395067121,0.09275020784136001,0.2026437901031519,0.603855554489757,0.5513633111146921,1.6117641812929673,0.5810828333320074,0.9598115708270625,0.7152967091871086,0.43920205428036274,-0.4434206314929659,0.439379579954561,-0.053857624631341895,-1.0370765327392306
ArabianPeninsula,0.988,0.0229,0.0009,-0.0011,0.0347,0.3689,0.9802,0.0059,0.7288549182210395,1.0969577913721067,0.7822287534579353,0.1914868411008723,-0.14678585174371753,0.11416882181702794,-0.23007129039581922,0.3467400179763444,0.18021840109839699,-0.057157889287931835,-0.5470755423471031,-0.7183428010602504,0.441996153467662,0.8221421599215332,0.5044104640343945,0.6177475842300032,0.7655889880100247,4.348322906770657,0.5836257803154541,0.016092426011353463,-0.5180799596113637
China,0.6911,0.1269,0.0254,0.0077,0.134,0.8026,0.9825,0.0129,0.14258754742013516,1.011034299236135,0.6607816839696387,0.06642498670976993,-0.504916670263559,-0.3044251503668245,-0.1382837956915088,-0.0069600409996464045,-0.09198383509458948,0.5090638066902119,1.1135403768205536,-0.156001544317881,0.6988743303039053,0.9944285042543111,0.830145707488911,0.0011968892286349341,1.0362796010668673,0.6787930648400057,0.2090485081263363,0.5498632317633567,0.6713391159784401
Peru,0.3297,0.1819,0.0462,-0.0134,0.2009,0.5412,0.9849,0.0291,0.3682622904205925,1.2494695131410354,0.7807624532868367,-0.14917965718981602,-0.011120576275607847,0.02123493190932051,0.2128188908157469,0.03995067722010073,-0.021924879938668224,0.9214047902922425,0.71982547434302,0.2893397500552791,0.7612334525103119,0.7864000690680313,0.5827813417005363,0.8492543588148401,2.187914162063083,-0.17891958269174374,0.5505415735973076,0.11517591054551639,0.8573372857840922
Nile,0.4957,0.1533,0.0328,0.0048,0.1887,0.7292,0.9937,0.5527,1.2936992832638434,-0.4719250335055029,1.7665336207169484,-0.317671595682258,-1.1921602235959943,1.9581072509987973,-2.650232688839947,0.7944179230773928,-0.8876617630537005,0.02095996573128778,0.3808218563334204,3.198644281943683,1.7622382946168211,1.5006005398077287,0.7980150947804291,0.48123877647607344,1.2762659286922409,1.091299710111606,0.3626655845159853,-0.1638053491921341,-2.3064394240617547
Java,0.7183,0.1335,0.0274,-0.0238,0.1483,0.614,0.9907,0.2211,0.13066224099831278,-0.05582394015179278,0.6398493758549179,0.7283776715795915,1.6260450081187763,0.5154283303894005,0.6888910365665281,-0.7923805437354863,0.15020843666314346,-0.044430213241826014,0.6557209322624635,0.5518302625658327,2.0903078564849533,0.4382119410784273,0.6235160746418057,0.7139380276494879,1.243455198279423,1.100550132418715,0.48661553464421875,0.04393397517839204,0.562431580543218
Japan,0.1128,0.2211,0.0723,0.005,0.264,0.8933,0.9557,0.0,0.046373360577244824,-0.0659091796318877,0.11135557876635327,0.17354199198174927,0.10907210938471666,-0.4255743435785449,0.09341437115828455,0.47814196537737014,-0.08448646370772463,0.004441102643439787,0.9859835333491476,-0.30666083482750844,0.24752574563852106,0.24049455272733855,0.8814028497090473,0.5278232282245962,0.985461887245173,1.0278612834614265,0.25545840599073494,-0.15759486583975418,1.363233778770226
