,-10% population,-1K temperature,-10% precipitation,-10% EVI,-10% LWE thickness,-10% discharge,Model,Hotspot
67,0.4361187474609583,0.4917831382437449,0.2284640120747271,0.6441549330378864,0.4766400968454207,0.4765045864353849,0.47693672421819017,USHighPlain
68,0.4855442962935886,0.5412426845803663,0.28924404826185424,0.6813166307464068,0.5268109849968677,0.5266345733371379,0.5270842650019794,USHighPlain
69,0.48617534246059696,0.542557272876352,0.29700510543809905,0.6725362769970222,0.5281857306377308,0.5280183500664407,0.5284375009328878,USHighPlain
70,0.49361658235300726,0.5512090777041335,0.3025002785957869,0.6775669883718928,0.5363691592302748,0.5361747587374536,0.5366011128322135,USHighPlain
71,0.5238113194756933,0.5817620978847202,0.3125980292394882,0.7020825315626988,0.5673046931914931,0.5670786763695597,0.5675183898605889,USHighPlain
72,0.6001090242157833,0.6582493334470139,0.37097651899650896,0.773430603320401,0.6443419124611294,0.6441216810004303,0.6445387891899275,USHighPlain
73,0.6641292348965537,0.7232045026050306,0.4132907910077096,0.8409151142193593,0.7091004562922532,0.7088468503472143,0.7092818369684529,USHighPlain
74,0.6717907675639098,0.7317683443374688,0.39950203289551994,0.8476479811367172,0.7174992337164375,0.7173337633707182,0.7176663380253091,USHighPlain
75,0.655283066605984,0.7164412018092233,0.37645156259976376,0.8326451614905771,0.7017277747886351,0.7015385309297699,0.7018817264147316,USHighPlain
76,0.685467841296658,0.7471681447953201,0.406459740183786,0.8735280008430235,0.7326478677067622,0.7324825229095111,0.7327897018900804,USHighPlain
77,0.7589026275968537,0.8208822470520267,0.4929044250698562,0.9601046423412306,0.8068171211437103,0.8067072229480245,0.8069477916411103,USHighPlain
78,0.7807496985259055,0.8435665232597536,0.5287461740245654,0.9832641793778714,0.8293978751076673,0.829336276376059,0.8295182606063621,USHighPlain
79,0.7094509661833112,0.7735694631926199,0.4711733989695174,0.9132840836269668,0.7588321034143302,0.7588253024243583,0.7589430134405746,USHighPlain
80,0.6282586913270656,0.6928701963313175,0.40772928406986,0.8338574485390815,0.6783721236802474,0.678381607242959,0.6784743040429564,USHighPlain
81,0.558467468843358,0.6242654856501247,0.3507569128702,0.7642285345575267,0.6093125831748577,0.6092535544049571,0.6094067209807612,USHighPlain
82,0.5117578053661516,0.5776616225989951,0.3073484829752373,0.71938755795219,0.5633340367923192,0.5632760730379629,0.5634207650663767,USHighPlain
83,0.5545669460049203,0.6213203270748648,0.3485763757826554,0.7589606634526719,0.6068737741037687,0.6066049971554076,0.6069536760459141,USHighPlain
84,0.5501967195400631,0.6173049828730031,0.34736910633932755,0.7477418530824624,0.6032336648517167,0.6030069950029742,0.6033072777585569,USHighPlain
85,0.5441785454106908,0.6123918161614587,0.34283251504684203,0.7480268398438237,0.5979451662132812,0.5976877573389835,0.5980129850911202,USHighPlain
86,0.603480888002934,0.6724909440053909,0.398791934146087,0.821165328728173,0.6579767773422638,0.6577924888724,0.658039258235748,USHighPlain
87,0.6244656449836007,0.6936704363544304,0.40261018779650615,0.8584726435343049,0.6796904279366002,0.6795632361412101,0.6797479909953675,USHighPlain
88,0.6283153330570261,0.6980485004876938,0.38171696094366087,0.8774808778011497,0.6842686642106018,0.6842030918682979,0.6843216965145572,USHighPlain
89,0.6882257376901809,0.7581838024613943,0.4419863769193771,0.9412968702732045,0.7449072988185028,0.7449298537212459,0.7449561569807173,USHighPlain
90,0.7279517927337797,0.7975928084361283,0.4970831296412963,0.970132149963891,0.7853612906583873,0.7854347447070741,0.7854063032231249,USHighPlain
91,0.7242486326661388,0.7949570345286691,0.4976050135569434,0.9577454616078092,0.7823857972844774,0.7824756014447029,0.7824272669364746,USHighPlain
92,0.7625773888887185,0.8330574642886278,0.5361064508419583,0.9832294707317468,0.8214419713578482,0.8216094831912916,0.8214801769577023,USHighPlain
93,0.7891316234067707,0.8597969884021751,0.5620145390679749,1.000682617920928,0.8487233944700343,0.8489259140392795,0.8487585929293873,USHighPlain
94,0.8329762617854432,0.9036853123080764,0.6073982435502309,1.0344905909290627,0.8932950102308413,0.893520366076921,0.8933274382399697,USHighPlain
