time,lwe_thickness,hotspot
April 2013,-5.748725950367081,USHighPlain
May 2013,-4.228095508120487,USHighPlain
June 2013,-3.8863166618418377,USHighPlain
July 2013,-9.85189631288731,USHighPlain
August 2013,-10.004000603273198,USHighPlain
September 2013,-10.156104893659084,USHighPlain
October 2013,-10.303302594032523,USHighPlain
November 2013,-9.877059849645304,USHighPlain
December 2013,-7.248065663284705,USHighPlain
January 2014,-7.032247906969856,USHighPlain
February 2014,-6.936517833536633,USHighPlain
March 2014,-6.850051960758238,USHighPlain
April 2014,-7.369446707430433,USHighPlain
May 2014,-5.691883255915971,USHighPlain
June 2014,-4.89465042768765,USHighPlain
July 2014,-7.090971697096306,USHighPlain
August 2014,-9.360503675485251,USHighPlain
September 2014,-9.530730706548901,USHighPlain
October 2014,-10.149573091921676,USHighPlain
