time,Population,hotspot
April 2019,540770.4608585297,Australia
May 2019,540727.5953479965,Australia
June 2019,540757.0229478093,Australia
July 2019,540734.3491017922,Australia
August 2019,540748.627263318,Australia
September 2019,540767.4103227364,Australia
October 2019,540758.4014068971,Australia
November 2019,540748.2000199208,Australia
December 2019,540754.065703651,Australia
December 2000,33831876.67184578,California
January 2001,33794179.55677305,California
February 2001,33900054.65928049,California
March 2001,34012400.847276874,California
April 2001,33861315.11929386,California
May 2001,33886924.87268416,California
June 2001,34096609.11551519,California
July 2001,34040194.39825442,California
August 2001,33941677.65016087,California
September 2001,34070396.24652028,California
October 2001,33994359.4162562,California
November 2001,34020587.501163825,California
December 2001,34117701.45517552,California
January 2002,33926833.45062925,California
February 2002,33972765.46466776,California
March 2002,34114535.21440835,California
April 2002,34095911.57249591,California
May 2002,34256032.780588046,California
June 2002,34159433.04330159,California
July 2002,34134512.13024416,California
August 2002,34452202.82171032,California
September 2002,34308199.36276063,California
October 2002,34363867.09105432,California
November 2002,34239985.79954023,California
December 2002,34354970.71211277,California
January 2003,34448580.23766308,California
February 2003,34348471.92411714,California
March 2003,34527475.819048256,California
April 2003,34456222.719258144,California
May 2003,34513951.90099132,California
June 2003,34510024.78143179,California
July 2003,34784490.78248228,California
August 2003,34623367.97027897,California
September 2003,34545256.51577698,California
October 2003,34761752.410295025,California
November 2003,34582683.40017187,California
December 2003,34753655.44609479,California
January 2004,34562352.69596882,California
February 2004,34653966.34425079,California
March 2004,34834072.39038129,California
April 2004,34916604.60822283,California
May 2004,34886215.350891925,California
June 2004,34885022.84159663,California
July 2004,34893195.135877915,California
August 2004,34802035.60870183,California
September 2004,34906501.02726933,California
October 2004,34959602.26687751,California
November 2004,35140766.15850774,California
December 2004,35095583.93955479,California
January 2005,34911119.0553362,California
February 2005,35150397.85693334,California
March 2005,35104389.090906076,California
April 2005,35103295.17617807,California
May 2005,35260974.255339764,California
June 2005,35331736.9059303,California
July 2005,35349139.07603945,California
August 2005,35198640.19152404,California
September 2005,35280586.24547228,California
October 2005,35372778.42712004,California
November 2005,35466271.089647606,California
December 2005,35346762.80518208,California
January 2006,35405260.52981865,California
February 2006,35341075.24201419,California
March 2006,35358044.16448199,California
April 2006,35589849.02652808,California
May 2006,35672696.740744166,California
June 2006,35557225.68913055,California
July 2006,35693809.8805779,California
August 2006,35657792.69442874,California
September 2006,35584909.82547306,California
October 2006,35714519.39810938,California
November 2006,35862248.96365406,California
December 2006,35731134.75011181,California
January 2007,35922248.75535281,California
February 2007,35528855.289632365,California
March 2007,35903158.357299715,California
April 2007,35858308.94236576,California
