time,tp,hotspot
November 2009,0.15976539,USHighPlain
December 2009,0.2794862,USHighPlain
January 2010,0.16521025,USHighPlain
February 2010,0.2651195,USHighPlain
March 2010,0.42648396,USHighPlain
April 2010,0.54517376,USHighPlain
May 2010,0.73219824,USHighPlain
June 2010,0.7861577,USHighPlain
July 2010,0.63552284,USHighPlain
August 2010,0.37303296,USHighPlain
September 2010,0.42779127,USHighPlain
October 2010,0.16700678,USHighPlain
November 2010,0.2301424,USHighPlain
December 2010,0.1046782,USHighPlain
January 2011,0.14205989,USHighPlain
February 2011,0.2553215,USHighPlain
March 2011,0.2469027,USHighPlain
April 2011,0.507455,USHighPlain
May 2011,0.7909199,USHighPlain
June 2011,0.41005266,USHighPlain
July 2011,0.29815352,USHighPlain
August 2011,0.40717807,USHighPlain
September 2011,0.21944067,USHighPlain
October 2011,0.36414427,USHighPlain
November 2011,0.3305657,USHighPlain
December 2011,0.35276535,USHighPlain
January 2012,0.07809791,USHighPlain
February 2012,0.3747521,USHighPlain
March 2012,0.3720739,USHighPlain
April 2012,0.60189724,USHighPlain
May 2012,0.3546752,USHighPlain
June 2012,0.32941872,USHighPlain
July 2012,0.13241664,USHighPlain
August 2012,0.33328265,USHighPlain
September 2012,0.26116997,USHighPlain
October 2012,0.23005675,USHighPlain
November 2012,0.079582095,USHighPlain
December 2012,0.19287407,USHighPlain
January 2013,0.14945328,USHighPlain
February 2013,0.36812708,USHighPlain
March 2013,0.2617337,USHighPlain
April 2013,0.57286525,USHighPlain
May 2013,0.67158055,USHighPlain
June 2013,0.4330786,USHighPlain
July 2013,0.5237316,USHighPlain
August 2013,0.5582249,USHighPlain
September 2013,0.4276365,USHighPlain
October 2013,0.4760626,USHighPlain
November 2013,0.18641485,USHighPlain
December 2013,0.12502047,USHighPlain
January 2014,0.07399899,USHighPlain
February 2014,0.2023958,USHighPlain
March 2014,0.15507507,USHighPlain
April 2014,0.36420786,USHighPlain
May 2014,0.4897743,USHighPlain
June 2014,1.0729752,USHighPlain
July 2014,0.38256836,USHighPlain
August 2014,0.55594194,USHighPlain
September 2014,0.48117307,USHighPlain
