r²,MAE,MSE,MBD,Scenario
-0.254,0.183,0.0366,0.18298942758781234,5
1.0,0.0,0.0,-9.804471954122631e-06,6
0.9942,0.0119,0.0002,0.011744360637991157,7
-2.6623,0.42,0.225,0.42002771553556545,2
0.9926,0.0211,0.0005,-0.021138317059255257,3
0.9797,0.0333,0.0012,-0.03333717949855907,4
0.9173,0.0683,0.0051,0.06828569270120406,5
1.0,0.0003,0.0,-0.00026136046869869604,6
0.9999,0.0021,0.0,0.0020106906606009666,7
0.6896,0.115,0.0147,-0.11495822101133572,2
0.9949,0.015,0.0002,0.014986741480569396,3
0.6213,0.1282,0.018,-0.12815716333202393,4
0.5697,0.1394,0.0204,-0.13940065564111703,5
1.0,0.0001,0.0,0.00011830953916132725,6
0.9998,0.0024,0.0,0.0002556926909771402,7
-3.4644,0.4308,0.2384,0.4308195274709434,2
0.9922,0.0199,0.0004,-0.019930844931388796,3
0.8312,0.0914,0.009,-0.09136441316632118,4
0.996,0.0142,0.0002,0.014218338198074793,5
1.0,0.0,0.0,2.0611989472263005e-05,6
1.0,0.0009,0.0,-0.0004301215809423269,7
0.4551,0.1262,0.0189,-0.12620551681921569,2
0.9827,0.0243,0.0006,0.02433625374877709,3
0.2283,0.1612,0.0267,-0.16116480857724602,4
0.9956,0.0119,0.0002,-0.011945878474562088,5
0.9996,0.0014,0.0,-0.001412694592612448,6
0.9987,0.0064,0.0,-0.006421876405118047,7
0.8498,0.1074,0.0118,0.10735436625861673,2
0.9999,0.0031,0.0,0.0030686048144448843,3
1.0,0.0008,0.0,-0.0008106956794226565,4
0.999,0.008,0.0001,0.008036786738613404,5
1.0,0.0,0.0,-3.308231285891272e-07,6
0.9997,0.0041,0.0,0.004091183828599482,7
-0.324,0.283,0.1021,0.2830203325300697,2
0.9587,0.0556,0.0032,-0.05563622845968255,3
0.8188,0.1153,0.014,-0.1153073468573235,4
0.937,0.0658,0.0049,0.06579706246996991,5
1.0,0.0002,0.0,-0.00015253658820624496,6
0.9998,0.0035,0.0,0.0020843989865775474,7
0.531,0.1593,0.0272,-0.15925582043685005,2
0.9847,0.0269,0.0009,0.02690962349885435,3
0.9412,0.0515,0.0034,-0.05152521380793432,4
0.9663,0.0404,0.002,-0.04036084017205993,5
1.0,0.0,0.0,-5.520410780504387e-07,6
0.9998,0.0027,0.0,0.002618731771812163,7
0.5397,0.1085,0.013,0.10849298146794804,2
0.7486,0.0833,0.0071,0.08326184494763528,3
0.9757,0.0225,0.0007,0.022513456022171616,4
0.9776,0.0242,0.0006,-0.02415784976563744,5
1.0,0.0001,0.0,7.45790977556082e-05,6
0.9932,0.0117,0.0002,-0.011740191674119368,7
-0.358,0.2485,0.0697,-0.2484670900168658,2
0.9931,0.0176,0.0004,0.01761070112333891,3
0.9663,0.0383,0.0017,-0.038275343918647585,4
0.9754,0.0341,0.0013,-0.034128476394616226,5
1.0,0.0,0.0,-4.0541317583590445e-05,6
1.0,0.0003,0.0,4.264465143336069e-05,7
-0.3623,0.2029,0.0518,0.20289028130914225,2
0.4202,0.1465,0.0221,-0.14650765917336145,3
0.6034,0.1221,0.0151,-0.12211462961391759,4
-1.1604,0.2735,0.0822,0.2735084828056477,5
1.0,0.0003,0.0,0.0002687766713573844,6
0.9981,0.0064,0.0001,-0.004959549352379836,7
0.8366,0.0921,0.0096,0.09211575672920208,2
1.0,0.0012,0.0,0.0011659313015199477,3
0.9637,0.0446,0.0021,-0.04459149941006537,4
1.0,0.0013,0.0,0.0013053332782510187,5
1.0,0.0,0.0,-1.4982971386060683e-05,6
0.9984,0.0074,0.0001,0.0034263529844135096,7
