r²,MAE,MSE,MBD,Scenario
0.7308,0.113,0.0185,0.06689248158768979,6
0.7183,0.1158,0.0194,0.07104340358481925,7
0.3085,0.2134,0.0634,0.18673220343482325,2
0.6043,0.1552,0.0363,-0.007230802007580593,3
0.4208,0.1839,0.0531,-0.1404557798391097,4
0.5332,0.1681,0.0428,0.0749624575874263,5
0.6013,0.1561,0.0366,-0.008867545875943454,6
0.6077,0.1546,0.036,-0.010546448976979721,7
0.0521,0.2405,0.0781,-0.21539256569318463,2
0.4689,0.1838,0.0438,-0.06468444937967383,3
0.318,0.2082,0.0562,-0.14237430366035084,4
0.3451,0.1827,0.054,0.11136592072471435,5
0.4699,0.1837,0.0437,-0.06407884591150317,6
0.4829,0.1812,0.0426,-0.05299528366052427,7
-1.8016,0.3919,0.2244,0.38744124090613347,2
0.885,0.0752,0.0092,-0.013062961211220903,3
0.8776,0.0782,0.0098,-0.027632728136124496,4
0.8102,0.1045,0.0152,0.07127539067629622,5
0.8853,0.0767,0.0092,0.0073492737340504,6
0.8853,0.0768,0.0092,0.009572429925969158,7
0.1876,0.2306,0.0729,-0.16007159429818812,2
0.4076,0.184,0.0531,-0.03522722712552284,3
0.0554,0.2476,0.0847,-0.18113828338358917,4
0.0307,0.256,0.087,-0.18683519355253536,5
0.4022,0.1863,0.0536,-0.049731306478516944,6
0.4067,0.1856,0.0532,-0.04976293377348831,7
-1.591,0.4279,0.2279,0.38026691704692694,2
0.6248,0.1587,0.033,-0.02860362894880024,3
0.5236,0.1745,0.0419,-0.09884289377379626,4
0.6387,0.152,0.0318,0.004513398752033357,5
0.6348,0.1546,0.0321,-0.009022468948844354,6
0.634,0.1548,0.0322,-0.00942838407961111,7
0.5326,0.1602,0.036,-0.10169741045499933,2
0.6039,0.1516,0.0305,0.048709367644157155,3
0.4005,0.1575,0.0461,-0.13344879731011128,4
0.6327,0.1476,0.0283,0.013170478611473784,5
0.6299,0.1475,0.0285,0.02275727579653153,6
0.6397,0.1459,0.0277,0.017892051116994226,7
0.8467,0.1065,0.0138,0.10527574853707442,2
0.9698,0.0412,0.0027,0.0004643815068778708,3
0.9698,0.0408,0.0027,-0.0033217094537117235,4
0.968,0.0434,0.0029,0.005120679652306762,5
0.9696,0.0411,0.0027,-0.0024796834138051116,6
0.9691,0.0417,0.0028,0.001658499471865706,7
-0.3688,0.3007,0.1261,0.2924677708619224,2
0.7679,0.1129,0.0214,-0.01670859882069326,3
0.6724,0.1292,0.0302,-0.07867649805474447,4
0.6754,0.1419,0.0299,0.09940422241301156,5
0.7638,0.1221,0.0218,0.03756204834104725,6
0.7619,0.1226,0.0219,0.03914445826995593,7
0.2905,0.1987,0.0572,-0.1653124450828098,2
0.6243,0.1483,0.0303,0.017491822448865057,3
0.607,0.1503,0.0317,-0.05993643505095802,4
0.5916,0.1545,0.033,-0.04874749345355865,5
0.6339,0.1477,0.0295,-0.008935732241288852,6
0.6355,0.1474,0.0294,-0.006402343483137934,7
0.3245,0.2023,0.0557,0.13602491738115097,2
0.3294,0.1956,0.0553,0.11318695385763833,3
0.4775,0.1764,0.0431,0.05507712408939275,4
0.507,0.172,0.0407,0.007659842621181031,5
0.4903,0.1758,0.0421,0.03198839505360423,6
0.4915,0.1763,0.042,0.020776965303575614,7
0.1918,0.2403,0.0875,-0.212985181166403,2
0.7662,0.1346,0.0253,0.040062854613698184,3
0.7709,0.136,0.0248,-0.015504622118429017,4
0.7744,0.1351,0.0244,-0.01199576631272798,5
0.7725,0.1355,0.0246,0.022585809742795934,6
0.7723,0.1356,0.0247,0.02271266075219607,7
-0.0683,0.2245,0.0772,0.12965122205818924,2
-0.3406,0.2609,0.0968,-0.20450484939354263,3
-0.1946,0.2477,0.0863,-0.17993709971836322,4
-0.5516,0.2563,0.1121,0.19929297942061722,5
0.1811,0.2078,0.0591,-0.05862167553317878,6
0.1871,0.2074,0.0587,-0.0638852751740385,7
0.5005,0.1648,0.0424,0.13004645601328746,2
0.6719,0.1296,0.0279,0.04415317384893002,3
0.6919,0.1294,0.0262,-0.0016151843279599272,4
0.6717,0.1296,0.0279,0.04432497355770892,5
0.6732,0.1295,0.0278,0.04298317097450991,6
0.6614,0.1323,0.0288,0.04582854373477898,7
