,+10% population,1K temperature,+10% precipitation,+10% EVI,+10% LWE thickness,+10% discharge,Model,Hotspot
38,0.18689427339972606,0.8783567422495341,0.8815901407477653,0.7615165482939332,0.855302013031135,0.8555510501506657,0.8552963990893138,Iran
39,0.17847575123899384,0.8879489239411368,0.888899199624853,0.7691530900892304,0.8644918684657795,0.8648328645212258,0.864487432963006,Iran
40,0.17317916518728596,0.8951712693144007,0.8938200687369667,0.7744474320142243,0.8700851214397141,0.8704210947368267,0.8700816170063801,Iran
41,0.1488506484158374,0.8742507004806939,0.8716286707481946,0.74974854708335,0.8498270572193327,0.8501238479702916,0.8498242884119123,Iran
42,0.11508097417458735,0.8359170297692078,0.8436896831862762,0.7060996201407636,0.8102064582172318,0.8098290047815457,0.8102042706183247,Iran
43,0.08252713598911424,0.815840210504808,0.8326558810404531,0.6826366669809253,0.7888970192229122,0.7879289980709409,0.7888952908293291,Iran
44,0.08017556874524437,0.8155246806588348,0.8367943661950468,0.7062478517296031,0.7939183501408922,0.792519695624306,0.7939169845594922,Iran
45,0.14144321063146295,0.8847400901680511,0.9080903833537382,0.7940873651980733,0.8655446917592231,0.8646119289205909,0.8655436128310332,Iran
46,0.13596525179385066,0.8850387846878072,0.9090689733355161,0.7993872870661689,0.8690065855639189,0.8682896962494316,0.8690057331167202,Iran
47,0.13111070819117038,0.8710157942410541,0.9009670649017306,0.7717881880699814,0.8538370086037526,0.8535107663448634,0.8538363350962539,Iran
48,0.10498079502306079,0.8258943894317935,0.8565726012444296,0.7208619407481741,0.808223650285375,0.806626430608153,0.8082231181558174,Iran
49,0.05827358297300647,0.7837644189929233,0.8075875111977672,0.6885277758800891,0.7672790058807627,0.7650245553854511,0.7672785854520864,Iran
50,0.053828465142281665,0.769981270379106,0.7861862280406282,0.6686230242413406,0.7522752570988193,0.7494096837785379,0.7522749249235636,Iran
51,0.05573729398614996,0.7771058020688869,0.7848262183293311,0.6659053233606258,0.7564199410304431,0.7539278361894125,0.7564196785830728,Iran
52,0.06772935031617272,0.7988934103981705,0.8017869636096753,0.6831383557430512,0.7777342980597807,0.7751588729102122,0.7777340907035101,Iran
53,0.09112298840101085,0.8241459487667647,0.8217984814340059,0.7045559972153538,0.8001820066859807,0.7976156970247792,0.8001818428564752,Iran
54,0.0995660147254492,0.8103706978174628,0.822472416370601,0.6977238142403831,0.7889882150569479,0.7873502256346244,0.788988085617376,Iran
55,0.12118236971882722,0.8407319408952034,0.8540697866188699,0.7328895569613469,0.8170015378822537,0.8161775963965724,0.8170014356137232,Iran
56,0.12251625357018006,0.8200367292857588,0.8333366500818244,0.7330184321918206,0.8007222416264722,0.7998834869491555,0.8007221608254299,Iran
57,0.11240682279148809,0.8282319804480687,0.8435123521491333,0.7550966249345894,0.8099422995494479,0.8087930471725371,0.8099422357095902,Iran
58,0.1711192918059768,0.877067402075118,0.8873583354716338,0.8050339597258837,0.8559703594418832,0.8554563288472754,0.8559703090028378,Iran
59,0.21956998649793855,0.9243061153947654,0.9337172421867993,0.8458589925031086,0.90573293745532,0.9055815441894545,0.905732897604083,Iran
60,0.21611426236515197,0.9294467392369796,0.9372034002772557,0.833771875867038,0.9078471836750066,0.9078684799430763,0.9078471521890601,Iran
61,0.19848379163533175,0.9080767969078832,0.9159161976842204,0.8200930675918362,0.885550537791456,0.8856639415939703,0.8855505129148172,Iran
62,0.19545297126812416,0.9210123143351066,0.9250451490908711,0.8379386495436538,0.8969669061058865,0.8974628932022185,0.8969668864511762,Iran
63,0.17994699814810397,0.9030560050383877,0.9020476691475408,0.8192644798524894,0.8770083306598829,0.8776344851903655,0.8770083151309508,Iran
64,0.15358533469496777,0.8630862284338651,0.8593635857430071,0.7757263382431762,0.8357950529389341,0.8370834554453945,0.8357950406697258,Iran
65,0.10917696470311977,0.7975293382476493,0.7902074438807707,0.7055303890110888,0.7690745219883003,0.7702268660942263,0.7690745122945576,Iran
66,0.056803325239220256,0.7495876676121159,0.7381666157320241,0.6488388672757919,0.72022851842068,0.7208514271416059,0.7202285107617794,Iran
67,0.03366072665908016,0.7273793282407838,0.7346994395494564,0.6236158106992568,0.7036509495713593,0.7038741523100013,0.703650943520161,Iran
68,0.05910182138399482,0.7510723728616046,0.7637225926864712,0.6561369883700893,0.7252120526786455,0.7244253459698787,0.7252120478976721,Iran
69,0.044126769151627554,0.7110217843758647,0.7246222435768492,0.6359384940658515,0.6905487521153265,0.6893915557388545,0.6905487483379413,Iran
70,-0.010919481246813328,0.6414947210634899,0.6514182314531153,0.5793305188652477,0.6237249617953969,0.6223530249239492,0.6237249588109336,Iran
71,-0.0405058009010914,0.6057631148140757,0.6141234289434316,0.5495201147308625,0.591633562761194,0.5901786133455822,0.5916335604032081,Iran
72,-0.05331875492331659,0.5764048647570414,0.585801152043227,0.5150157825606435,0.5647521290914395,0.5636025923891008,0.5647521272284253,Iran
73,-0.04279460805934423,0.5814721911658043,0.5890297064795504,0.5235760765594341,0.5679388425358597,0.5660781855425188,0.5679388410639162,Iran
74,-0.015812438996976215,0.597218636175963,0.6024768237971893,0.5361192807981778,0.5815680198870268,0.5799274795615478,0.5815680187240633,Iran
75,0.007338891827697029,0.6229077772932099,0.6251876052797111,0.5420230441028834,0.6039918394762522,0.6017326769883027,0.6039918385574099,Iran
76,0.03620170711315264,0.6486369282529666,0.6483492773888927,0.5504873154901962,0.6269908111778252,0.6244496287789645,0.6269908104518599,Iran
77,0.07535670451408183,0.6817405658013771,0.6799880177382738,0.5718434455957215,0.6592461274972192,0.6564745215307154,0.6592461269236435,Iran
78,0.07505963772811518,0.6861494397837478,0.6852603729852573,0.5684518414121201,0.662564648627964,0.6601244002979761,0.6625646481747892,Iran
79,0.01951810469736382,0.623428344984331,0.6207416404733898,0.5063337336417786,0.5977904959629526,0.5951347772717634,0.5977904956049052,Iran
80,-0.04347943989309428,0.550743226776654,0.5440392074056488,0.44757886623306997,0.5237204878280425,0.5206084245136071,0.5237204875451538,Iran
81,-0.08396877647742497,0.5036226726749484,0.5013291778779642,0.4055766602478867,0.47523851915777116,0.4722448958514317,0.47523851893426444,Iran
82,-0.0918806296219113,0.48489213988557295,0.5018887530335022,0.40313572811493126,0.4617673689014589,0.459235626743045,0.4617673687248691,Iran
83,-0.04749598729924128,0.5278220437511691,0.5486017556203241,0.4422522717158709,0.5055375727944585,0.5034552103860985,0.5055375726549372,Iran
84,-0.03753870144097884,0.5269018905423446,0.5465290397384658,0.4281637849351367,0.5082091963227339,0.5059366156187212,0.5082091962124998,Iran
85,-0.016013981673348394,0.539441796819289,0.5536316085866052,0.4311751924009934,0.5201997183131839,0.5171069414082293,0.5201997182260895,Iran
86,-0.005656348016356796,0.5445516795225526,0.554785674528743,0.42721976040728926,0.5260468179174107,0.5231647203600763,0.5260468178485985,Iran
87,0.01953823960032429,0.5637877907881178,0.568456252086184,0.4365738725171264,0.5431442226379214,0.5405316370374248,0.5431442225835538,Iran
88,0.06388161918483284,0.5993952177462024,0.6028690300575207,0.4672485997839743,0.578067810602397,0.5750661947785499,0.5780678105594418,Iran
89,0.06164649233940955,0.5840149903126303,0.5847060765305494,0.4510135607677142,0.5600788697296144,0.556783854460962,0.5600788696956761,Iran
90,0.06575339193391841,0.5838617014107496,0.5852562579490262,0.4510299698912061,0.5577835091835283,0.5548014245150157,0.5577835091567139,Iran
91,0.12354786826389337,0.6342384995641044,0.6398051448971536,0.5016743386887451,0.6090084865323018,0.6069663255098428,0.6090084865111162,Iran
92,0.09889213148330044,0.6044144991529249,0.6097865315902743,0.4917916486073043,0.5799178516867892,0.5786912644160542,0.5799178516700507,Iran
93,0.07269600576759033,0.5765522474862076,0.5897451742534418,0.48607597584927287,0.5570179728886079,0.5539242581609113,0.5570179728753829,Iran
94,0.033340885649842285,0.5279954950841385,0.543604675695932,0.4549307803817919,0.5112002381592415,0.507880563308907,0.5112002381487927,Iran
95,0.001965017542835547,0.48599100858230687,0.5080797996987197,0.42799383741868274,0.4724516077313839,0.4692075981017592,0.4724516077231284,Iran
96,0.005590129596107222,0.4751861225653583,0.5001007701857799,0.4245254214668769,0.4611846590593044,0.4580518761534375,0.46118465905278183,Iran
97,0.02850856762110192,0.49652430903124417,0.5153263314227188,0.4440383712910594,0.47913727512747084,0.477224784969763,0.47913727512231746,Iran
98,0.026946586507953587,0.4889977990250236,0.5024221543945281,0.43107906117936046,0.4713851281975214,0.4691269790631691,0.4713851281934498,Iran
99,0.03558440768674359,0.4937012079593986,0.5032515636294876,0.43181882249540215,0.4758877575349989,0.473569565639162,0.475887757531782,Iran
100,0.02608735403380147,0.4863397938273077,0.49101557896583836,0.42254468321138233,0.46539027648840353,0.4634753219656104,0.4653902764858619,Iran
101,-0.0030838358724315576,0.44971814469755894,0.4506608104026794,0.3842581443716857,0.42636172520774324,0.42417179828883284,0.4263617252057351,Iran
102,-0.03748191078131942,0.40456770515708884,0.40595120233954013,0.3411151827066746,0.3849310547107798,0.38195062733779467,0.3849310547091932,Iran
