,+5% population,0.5K temperature,+5% precipitation,+5% EVI,+5% LWE thickness,+5% discharge,Model,Hotspot
94,0.7266048717080027,0.8189581419231367,0.8858667283308366,0.7818984631892385,0.8160643108871217,0.8170292945941018,0.8160635866902202,USHighPlain
95,0.7233794572444552,0.8159934064536463,0.8882925032848011,0.77828925229352,0.8128784112618249,0.8140381259150766,0.8128777645871281,USHighPlain
96,0.6831940795744635,0.7758071503363422,0.8673771424862364,0.7371916892405912,0.7726005091437345,0.7736593403483227,0.7725999316928194,USHighPlain
97,0.6922277979126075,0.7848134223426131,0.888270347254964,0.7453584668836934,0.781457016588182,0.7826486552140233,0.7814565009509367,USHighPlain
98,0.7437303768092756,0.8361487043094049,0.936500728971851,0.7971659451683684,0.8327958182633397,0.8338598970317195,0.8327953578228731,USHighPlain
99,0.6955494666806047,0.7881641234242382,0.8822123687274841,0.7518718455939639,0.7845695408100571,0.7855965736052682,0.7845691296577882,USHighPlain
100,0.6470579431454597,0.739453058941473,0.83439025824523,0.6981525140099156,0.7360299468456597,0.7370450477364605,0.7360295797054963,USHighPlain
101,0.5860780929595903,0.6782477668679172,0.770471097773477,0.6337751697747956,0.674851684600147,0.6759940570795329,0.6748513567607799,USHighPlain
102,0.5312701846875456,0.6231093141781654,0.714730952403156,0.5768005011291075,0.6199579709891498,0.6207866595025888,0.6199576782435956,USHighPlain
103,0.48242041174264183,0.5743312852064332,0.6650497876418645,0.5263356482605389,0.5708722644407355,0.5713258077703306,0.5708720030323503,USHighPlain
104,0.43087448162696274,0.5229525672781326,0.6075725148997999,0.47630964978858126,0.5192916351578931,0.5193849722284087,0.5192914017321659,USHighPlain
105,0.4483507029785532,0.5398584889494766,0.6266070807745336,0.49725951647630096,0.5363972619679462,0.5363832622421953,0.5363970535294527,USHighPlain
106,0.4143068113681916,0.5057564864772683,0.5939842239331059,0.4633549431340378,0.5022795845505024,0.5023093879177685,0.5022793984244649,USHighPlain
107,0.36589882733886503,0.4571494035391791,0.5498282555177687,0.4136645178622754,0.4535201341028131,0.4530867149694102,0.453519967900778,USHighPlain
108,0.3874928857977926,0.47881830538847003,0.5789313750682179,0.43584344378373574,0.47505212062875435,0.47456688847026895,0.4750519722179416,USHighPlain
109,0.3714649782372733,0.4627023686675859,0.5618483603170893,0.42178628267269413,0.458812256937852,0.45839374404730376,0.4588121244137869,USHighPlain
110,0.31410424164412887,0.4050736946779283,0.4978520124010549,0.36414015286678203,0.40118634336544345,0.40090747494678025,0.401186225027517,USHighPlain
111,0.2678272557603274,0.3584845519025821,0.4466206335057319,0.31044509740942305,0.3548087417819512,0.35467016866169054,0.35480863611159763,USHighPlain
112,0.21178553989932047,0.3020736179013582,0.3849720293255523,0.24794867026983447,0.2986662396278865,0.2987046784807894,0.29866614526909585,USHighPlain
113,0.17092437555499584,0.26127388973696863,0.3446542607167191,0.20758896152509565,0.2576822753803405,0.2575748725954592,0.257682191122258,USHighPlain
114,0.2153844940903289,0.30580513085650085,0.3889930768309031,0.25302987701644275,0.3021704070075295,0.3018345355976828,0.3021703317689173,USHighPlain
115,0.30475559899089344,0.3952433988248809,0.4731362047959662,0.342649472458326,0.3914001654852137,0.3911101582888272,0.39140009830057565,USHighPlain
116,0.31795046497071255,0.40855705625248384,0.4808723129176763,0.3572563459854361,0.4045355175744896,0.4043987495029717,0.40453545758168197,USHighPlain
