-10% population,-1K temperature,-10% precipitation,-10% EVI,-10% LWE thickness,-10% discharge,Model,Hotspot
0.5897298501849231,0.5603746857447787,0.40610648549864026,0.6490546082488415,0.5645689701662016,0.5728244040458859,0.5671609328961935,USHighPlain
0.5875858882680081,0.5570864127365479,0.41715623441244776,0.6462316591851686,0.5617694125678644,0.5697124221859641,0.5640839166881626,USHighPlain
0.5818805968618275,0.550823741247795,0.4218231670661934,0.6404234429626889,0.5557926693188651,0.5629252229102675,0.557859415596075,USHighPlain
0.6452426501295936,0.6131086592419455,0.4866267876399184,0.699692074419171,0.6181797432704321,0.6243492996812354,0.6200252531301469,USHighPlain
0.6492723824296869,0.6166860964483716,0.4863546183356193,0.7028384881817153,0.6215481737210966,0.6268850041881806,0.6231961295828594,USHighPlain
0.5962908765139625,0.5630714015936332,0.4245699837769177,0.6513425364801564,0.5680808105467336,0.5734754230830053,0.569552359727586,USHighPlain
0.5090902789378505,0.47438407863803356,0.3337536685689977,0.5640514195596438,0.47992308949728835,0.4861857064550653,0.48123711558373405,USHighPlain
0.5063423036292192,0.47016382174724924,0.32974093528839266,0.5678588718591617,0.476111136652134,0.4824388255498102,0.47728450182288507,USHighPlain
0.5358025195969299,0.4980846225879103,0.3495109798799392,0.6027996137392498,0.5043073042596555,0.5095392579374407,0.5053550656687582,USHighPlain
0.5667436936829195,0.5280862576380263,0.3741429328322128,0.6309320597628894,0.5347476712043098,0.5404037362684202,0.5356832742013733,USHighPlain
0.5552715448610547,0.5158462629205225,0.3684926208922581,0.6150141027263443,0.5226190144512318,0.5280638921589165,0.5234544651182534,USHighPlain
0.49121850332876915,0.4505184316807974,0.3095818473862473,0.5459640195529568,0.45735181116883816,0.4628382211892257,0.45809783038769225,USHighPlain
0.4767229677238074,0.4342617139244447,0.29655972083772775,0.5252336502349928,0.4415627746072113,0.44733006087258853,0.4422289356348681,USHighPlain
0.4372568192958588,0.3941891300958408,0.2651558616104249,0.48512799237309134,0.4014648641824641,0.4070943283222477,0.40205971549936503,USHighPlain
0.400791960835015,0.35697092717526324,0.2378252427581964,0.4473436237296635,0.36401725102755367,0.3695492237674125,0.36454842603558957,USHighPlain
0.3472396637341686,0.30378734812043506,0.19376674848012965,0.39045947919815394,0.3101106741239339,0.31586063259332076,0.31058498910171994,USHighPlain
0.35666497826093946,0.3120842106472337,0.20809540910862978,0.3980177152246014,0.31890566789389574,0.3249562928535408,0.31932920946635046,USHighPlain
0.37795791609977614,0.33212944417955736,0.22569318851683384,0.41519278570810636,0.3389031728967097,0.3450376436310809,0.3392813761413864,USHighPlain
0.31252440807128357,0.2657528753961681,0.16306789013406575,0.3489194183444245,0.2721035925504607,0.27844807048542847,0.2724413107429276,USHighPlain
0.2368122447158315,0.18916626031552708,0.09486603338116562,0.2676435962410251,0.19559020925888237,0.2015483632394124,0.19589177615215592,USHighPlain
0.21519970728371018,0.16602128061132215,0.06365472262228389,0.2379163541545699,0.1727389439121343,0.17837082150759342,0.17300822934936333,USHighPlain
0.28317740635678,0.23283891662394174,0.11862277875065064,0.2996980547619439,0.23981982570543403,0.24522565406535946,0.24006028527948242,USHighPlain
0.3824404565934829,0.3311003776851549,0.21192240574138266,0.3956644813819854,0.3384913692148639,0.34397527013448137,0.338706088612045,USHighPlain
0.39368945950628653,0.34198634783640447,0.21954627342301847,0.4119827687297565,0.34868890851293055,0.35371835691685427,0.3488806431099343,USHighPlain
0.3435611271018053,0.2904241018878706,0.17080330876021554,0.36590445031646057,0.29709839203894806,0.3021390226827918,0.2972696022610837,USHighPlain
0.388989683737365,0.3345132487543445,0.22302604772644097,0.41413054586512477,0.3416399053417538,0.3470641258284739,0.34179278823624326,USHighPlain
0.4824252823357795,0.4263998352638183,0.32001813529415646,0.5030401628608039,0.43355082959039715,0.4392983914973838,0.4336873470198819,USHighPlain
0.5292225598355103,0.47395358499303186,0.36742216852644893,0.5428568597424039,0.4805564681752401,0.48544713534332185,0.48067837199329233,USHighPlain
